repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
grafana/pyroscope,0.35720303285593935,0.0006598310299068551,0.0008040759417542516,0.0008040759417542516,grafana/pyroscope,11396,go,659,613,1272
JoeanAmier/XHS-Downloader,0.35327155293456897,0.0006573646950694035,0.0007754105703305813,0.0007754105703305816,JoeanAmier/XHS-Downloader,10991,python,1130,128,1258
pulumi/pulumi-aws,0.35299073294018535,0.0006570089058536842,0.0007838601870522388,0.0007838601870522388,pulumi/pulumi-aws,573,go,288,969,1257
moonrepo/moon,0.35186745296265093,0.0006566069920784985,0.0007729269083037339,0.0007729269083037337,moonrepo/moon,3821,rust,420,833,1253
forthespada/CS-Books,0.34821679303566416,0.0006564544165619415,0.0007596498002053454,0.0007596498002053451,forthespada/CS-Books,26699,unknown,682,558,1240
Netflix/metaflow,0.370120752597585,0.0006542689034190765,0.000963854624088959,0.0009638546240889576,Netflix/metaflow,10063,python,1149,169,1318
kubeflow/trainer,0.3734905925301882,0.0006541079004481822,0.0009832769953931348,0.0009832769953931333,kubeflow/trainer,2094,go,535,795,1330
tensorzero/tensorzero,0.3709632125807358,0.0006531682289694134,0.0009791000445340467,0.000979100044534047,tensorzero/tensorzero,11286,rust,120,1201,1321
justjavac/free-programming-books-zh_CN,0.3442853131142937,0.0006508453306315435,0.0007397293642928934,0.0007397293642928937,justjavac/free-programming-books-zh_CN,116786,unknown,535,691,1226
appwrite/appwrite,0.3181690536366189,0.0006505531857279085,0.0004088706057003587,0.0004088706057003583,appwrite/appwrite,55910,typescript,840,293,1133
The-Cool-Coders/Project-Ideas-And-Resources,0.35439483291210333,0.0006500436520323556,0.0008092288590620459,0.0008092288590620457,The-Cool-Coders/Project-Ideas-And-Resources,13686,unknown,1042,220,1262
Devs-Dungeon/Resources,0.29879247402415055,0.0006491034414679511,0.00044094185391706025,0.0004409418539170606,Devs-Dungeon/Resources,294,html,982,82,1064
vstorm-co/full-stack-ai-agent-template,0.35411401291771977,0.0006462273971013502,0.0008181422131855316,0.0008181422131855308,vstorm-co/full-stack-ai-agent-template,1186,python,56,1205,1261
bregman-arie/devops-resources,0.34540859309182814,0.0006458358438055419,0.0007626374152117884,0.0007626374152117904,bregman-arie/devops-resources,9519,groovy,847,383,1230
ruc-datalab/DeepAnalyze,0.35214827295703455,0.0006405977681421167,0.0008599652910212184,0.0008599652910212177,ruc-datalab/DeepAnalyze,4091,python,223,1031,1254
xbmc/xbmc,0.34063465318730696,0.0006383368674285217,0.0007601993497867225,0.0007601993497867228,xbmc/xbmc,20703,c++,19,1194,1213
shainakrumme/open-source-handbook,0.32940185341196293,0.0006380815007063053,0.0006400724093441763,0.0006400724093441766,shainakrumme/open-source-handbook,475,unknown,194,979,1173
